Name,Club,Division,Nat,Position,Home Grown Status,Preferred Foot,Inf,WR,Age,Mins,Ps C/90,Pr passes/90,Pas %,NP-xG/90,xA/90,Drb/90,Tck R,Hdr %,Tck/90,K Tck/90,Hdrs W/90,K Hdrs/90,Int/90,Blk/90,Clr/90,Pres C/90,Pres A/90,Fls,Distance,Rec,Salary,Expires,Transfer Value
Hossam Abdel Maguid,Zamalek,The WE League,EGY,D (C),-,Unknown,,,23,383,53.11,5.4,80%,0.01,0,-,43%,73%,0.7,0.7,12.22,0.23,3.05,0.47,2.11,2.11,4.46,3,29.0mi,- - -,"$3,900 p/w",6/30/23,Unknown
Marco Pellizzaro,Olhanense,Campeonato de Portugal Prio D,ITA,D (C),-,Right,,,19,"1,819",48.39,4.16,72%,0.04,0.1,-,47%,78%,0.4,0,12.86,0.64,4.3,0.49,1.63,1.58,3.12,16,132.2mi,- - -,"$1,200 p/w",6/30/25,$55K - $550K
Pepe Sánchez,Deportivo La Coruña,Primera Federación Grupo I,ESP,D (RC),-,Right,Wnt,,24,"1,497",90.06,6.67,93%,0.01,0.09,0.18,93%,48%,0.84,0.12,5.23,0.06,4.63,0.54,1.98,2.04,4.33,10,116.2mi,- - -,"$1,800 p/w",6/30/23,$95K - $300K
Mekan Saparow,Altyn Asyr,Türkmenistanyň Ýokary Ligasy,TKM,D (C),-,Unknown,,,30,"1,059",41.64,4.25,71%,0.07,0.03,0.08,100%,72%,0.93,0.34,9.6,0.68,4.16,0.59,1.95,2.04,3.99,7,72.8mi,- - -,"$1,800 p/w",12/31/24,Unknown
Paul Otia,Llanera,Tercera Federación Grupo II,CMR,D (RC),-,Right,Opt,,28,"3,870",14.44,0,72%,0.06,0,-,94%,-,1.98,0,-,0,-,-,0,0,0,36,0.0mi,- - -,$325 p/w,6/30/23,$500 - $3.5K
Pablo Adorno,General Caballero (JLM),Copa de Primera TIGO-Visión Banco,PAR,D (C),-,Left,,,28,"1,291",52.15,3.9,80%,0.03,0.04,-,70%,65%,1.32,0.42,6,0.56,2.72,0.28,1.25,2.23,4.46,16,96.4mi,- - -,"$1,200 p/w",12/31/23,$22K - $210K
João Paulo,Inter de Limeira,Brasileirão Série D,BRA,D (C),-,Left Only,,,26,"2,101",48.92,4.2,79%,0.07,0.04,0.13,72%,69%,1.11,0.51,6.04,0.56,2.27,0.51,2.06,2.18,4.33,13,154.8mi,- - -,$875 p/w,12/31/23,$0 - $18K
Nicolò Gigli,Rimini,Serie C Girone B,ITA,D (C),-,Left Only,,,28,919,53.28,4.8,75%,0,0.01,0.1,83%,91%,0.49,0.39,13.22,0.1,2.94,0.78,2.45,0.88,2.55,5,68.8mi,- - -,$950 p/w,6/30/23,$0 - $20K
Matheus Ferraz,Fluminense,Brasileirão Assaí Série A,BRA,D (C),-,Right,Ask,,39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,"$8,500 p/w",12/31/23,$0 - $14K
Walter Antelo,Real Santa Cruz,División de Fútbol Profesional,BOL,D (C),-,Unknown,,,23,"1,152",41.48,3.91,67%,0.03,0.01,0.23,47%,73%,0.62,0.23,10.55,0.39,3.91,0.47,1.09,1.88,3.36,18,78.0mi,- - -,$675 p/w,12/31/24,Unknown
Eugene Martinez,Vancouver FC,Canadian Premier League,BLZ,D (C),-,Unknown,,,26,720,46.88,3.25,77%,0.05,0.05,-,90%,59%,1.12,0.5,9,0.25,3.88,0.88,1.62,2.12,3.5,4,54.8mi,- - -,$240 p/w,12/31/23,Unknown
Matheus Mancini,Santo André,Brasileirão Série D,BRA,D (C),-,Left,Inj,,29,"1,278",47.61,3.17,84%,0.06,0.03,0.14,88%,75%,0.99,0.28,6.83,0.42,3.45,0.42,1.62,1.34,3.45,7,84.1mi,- - -,"$1,200 p/w",12/31/23,$0 - $75K
Sebastián Silva,Cobresal,Campeonato AFP PlanVital,CHI,"D (C), DM",-,Right,,,32,"1,186",43.94,4.02,70%,0.03,0.02,0.08,83%,91%,0.76,0.08,14.8,1.14,3.34,0.46,1.37,1.52,3.57,11,88.7mi,- - -,$575 p/w,12/31/23,$0 - $50K
Joshua Yaro,St. Louis City,Major League Soccer,GHA,D (RC),-,Right Only,,,30,567,51.11,5.08,80%,0.02,0.09,0.16,69%,67%,1.75,0.79,6.51,0.32,4.13,1.11,1.9,1.9,5.08,5,47.0mi,- - -,"$1,600 p/w",12/31/23,$16K - $160K
Matías Ormazábal,O'Higgins,Campeonato AFP PlanVital,CHI,"D (RC), WB (R)",-,Right,,,25,112,69.11,4.82,75%,0,0,0.8,100%,74%,1.61,1.61,11.25,0.8,5.62,-,4.82,1.61,6.43,2,9.9mi,- - -,$500 p/w,12/31/24,$50K - $500K
Jhonatan Silva,Operário Ferroviário,Brasileirão Serie B Chevrolet,BRA,D (C),-,Right Only,,,24,"1,091",58.98,4.95,84%,0.05,0.06,-,88%,84%,0.58,0,12.21,0.66,5.11,0.41,1.4,1.4,3.55,12,75.5mi,- - -,$625 p/w,12/31/25,$22K - $70K
Jake O'Brien,Crystal Palace,Premier League,IRL,D (C),-,Right,Trn,,23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,"$2,300 p/w",6/30/23,$5K
Alex Grant,Pohang Steelers,Hana 1Q K League 1,AUS,D (C),-,Unknown,Ask,,30,"1,521",47.99,3.31,84%,0.01,0.07,0.06,63%,75%,0.59,0.3,8.58,0.59,3.79,0.77,1.54,1.01,2.78,8,115.3mi,- - -,"$6,000 p/w",12/31/25,Unknown
Tobias Kleijweg,Excelsior M,Tweede Divisie,NED,D (C),-,Unknown,Ama,,26,"3,630",14.48,0,70%,0.05,0,-,100%,-,2.06,0,-,0,-,-,0,0,0,28,0.0mi,- - -,N/A,-,Unknown
Josh Bauer,New Mexico,USL Championship Western Conference,USA,D (RC),-,Right,,,25,"1,170",35,3.38,73%,0.08,0.05,0.62,64%,69%,1.08,0.23,5.23,0.54,4.69,0.69,2,2.92,7.23,11,104.1mi,- - -,"$1,500 p/w",12/31/24,$190K - $1.9M
Dehninio Muringen,Paide Linnameeskond,A. Le Coq Premium liiga,NED,D (LC),-,Unknown,,,25,"1,163",30.95,5.34,65%,0,0.14,1.39,74%,66%,1.32,0.31,3.95,0.08,4.18,0.77,1.39,1.78,7.04,6,89.9mi,- - -,$300 p/w,12/31/24,Unknown
Cameron Burgess,Ipswich Town,Sky Bet League One,AUS,D (C),-,Left,Wnt,,28,120,61.5,4.5,88%,0.41,0,-,-,65%,-,0,8.25,0,3.75,1.5,0,0.75,3,2,8.9mi,- - -,"$4,000 p/w",6/30/23,$0 - $20K
Michael Lüftner,FC Vitkovice,Moravskoslezská fotbalová liga,CZE,D (C),-,Unknown,,,30,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$725 p/w,6/30/24,Unknown
Yegor Teslenko,Rubin Kazan,Olimp-Russian Football Championship,RUS,D (C),-,Right Only,,,23,"1,741",53.61,4.34,85%,0.13,0.04,0.21,82%,72%,1.19,0.26,7.03,0.72,2.89,0.47,1.19,2.12,5.27,26,131.4mi,- - -,"$7,250 p/w",6/10/25,$130K - $1.3M
Piero Mollica,Caracas,Liga FUTVE,VEN,D (RC),-,Unknown,,,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$120 p/w,12/31/25,Unknown
Nemanja Tekijaški,Bruk-Bet Nieciecza,Fortuna I liga,SRB,D (RLC),-,Left,,,27,"2,454",52.22,4.84,87%,0.03,0.11,0.4,64%,69%,0.99,0.29,5.94,0.37,3.48,0.84,1.69,2.13,5.32,28,187.7mi,- - -,"$1,600 p/w",6/30/25,$160K - $500K
Matías Mariatti,Sarmiento (Resistencia),Primera B Metropolitana,ARG,D (C),-,Left,,,27,"1,122",50.53,3.69,83%,0.1,0.08,0.16,92%,54%,0.88,0,4.65,0.56,2.57,0.48,1.76,1.36,3.85,11,75.5mi,- - -,"$2,200 p/w",12/31/24,$450K - $1.4M
Rafael Pereira,Paysandu,Brasileirão Serie B Chevrolet,BRA,"D (C), DM",-,Right,Ret,,39,"1,768",50.96,3.26,82%,0.05,0.03,0.31,71%,67%,1.02,0.05,6.57,0.51,3.41,0.41,0.87,2.39,6.82,39,143.5mi,- - -,"$2,200 p/w",12/31/23,$0 - $3.5K
Nicolás Caro Torres,Chacarita Jrs.,Primera Nacional,ARG,D (C),-,Left Only,,,29,954,51.6,4.62,83%,0.03,0.12,0.09,87%,80%,1.23,0.47,7.45,0.57,2.36,0.66,1.98,1.79,3.58,5,64.4mi,- - -,"$3,300 p/w",12/31/23,$110K - $1.1M
Gökhan Kurumuş,Ankaraspor,Spor Toto 2. Lig Beyaz Grup,TUR,D (C),-,Unknown,,,26,"2,900",46.99,3.82,71%,0.11,0.03,0.09,91%,83%,0.96,0.25,13.13,0.78,3.79,0.5,2.14,1.4,3.54,24,218.7mi,- - -,$550 p/w,6/30/24,Unknown
Dominic Revan,Barnet,Vanarama National League,ENG,D (RC),-,Right,,,23,"2,117",47.91,4.12,75%,0.02,0.06,0.04,83%,78%,0.81,0.17,11.69,0.43,3.91,0.47,1.36,1.62,3.32,29,145.8mi,- - -,"$1,100 p/w",6/30/25,$100K - $325K
İsmail Güner,Etimesgut Bld.,Spor Toto 2. Lig Kırmızı Grup,TUR,D (C),-,Unknown,Trn,,24,"1,921",43.1,5.06,71%,0.1,0.03,0.05,76%,59%,0.75,0.19,8.85,0.52,3.84,0.61,1.73,2.16,3.51,15,139.9mi,- - -,$500 p/w,6/30/23,Unknown
Nguyen Thanh Chung,Ha Noi FC,Eximbank Giải Bóng đá Vô địch Quốc Gia V.League,VIE,D (C),-,Unknown,Int,,26,572,55.54,3.3,88%,0.18,0,-,100%,76%,0.63,0.16,12.12,0.47,4.09,0.63,1.73,0.94,2.67,6,41.7mi,- - -,"$1,800 p/w",11/30/24,Unknown
Steve Borg,Ħamrun S.,BOV Premier League,MLT,D (C),-,Unknown,,,36,"3,140",39.38,4.39,66%,0.16,0.09,0.03,84%,78%,0.6,0.26,10.95,0.29,4.04,0.8,1.38,1.66,3.78,33,213.3mi,- - -,$950 p/w,5/31/24,Unknown
Matvey Lukin,CSKA Moscow,Tinkoff Russian Premier League,RUS,D (C),-,Right,,,20,174,47.59,3.1,88%,0.09,0.06,-,100%,62%,2.59,0,6.72,0.52,2.59,0.52,0.52,3.62,8.79,1,16.2mi,- - -,"$1,600 p/w",6/30/25,$275K - $2.8M
Amir Feratović,Benfica B,Liga Portugal 2 SABSEG,SVN,D (C),-,Left,,,21,528,57.61,3.58,86%,0.01,0.1,0.34,75%,74%,1.53,0,8.18,0.34,3.07,0.17,1.7,2.9,7.67,8,43.5mi,- - -,"$1,400 p/w",6/30/24,$12K - $130K
Juan Orellana,San Martín (Tucumán),Primera Nacional,ARG,D (C),-,Right,Ask,,27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,"$3,300 p/w",12/31/24,$75K - $750K
Serge Raux-Yao,Rodez AF,Ligue 2 BKT,FRA,D (C),Trained in nation (15-21),Left Only,Opt,,25,520,38.42,4.15,73%,0.03,0.03,-,63%,80%,0.87,0.35,7.62,0.69,3.12,0.87,2.25,1.56,4.67,3,41.9mi,- - -,"$2,500 p/w",6/30/23,$0 - $120K
Jannik Borgmann,Ahlen,Regionalliga West,GER,"D (LC), WB (L)",-,Right,,,26,"3,870",37.6,4.23,75%,0.06,0.06,1.14,78%,75%,1.05,0.02,5.42,0.23,3.93,1.02,1.44,2.58,8.02,29,345.4mi,- - -,"$1,100 p/w",6/30/23,$5K - $16K
Alan Henrique,IFK Mariehamn,Veikkausliiga,BRA,D (C),-,Right Only,,,32,982,34.37,2.38,56%,0.07,0.04,-,91%,82%,0.92,0.27,13.11,0.82,3.85,1.01,3.39,2.02,4.03,13,74.1mi,- - -,$600 p/w,11/30/24,Not for Sale
Themistoklis Tzimopoulos,Levadeiakos,Stoiximan Super League,NZL,"D (C), DM",-,Right,Trn,,38,757,41.14,3.69,76%,0.03,0.05,-,50%,77%,0.36,0.12,9.75,0.36,2.97,1.07,1.31,2.26,4.99,11,57.2mi,- - -,"$1,100 p/w",6/30/23,$0 
Steeven Willems,,-,FRA,"D (LC), WB (L)",Trained in nation (15-21),Left Only,Bid,,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,-,-,$0 
Can Otman,Batman Petrol Spor,Spor Toto 2. Lig Beyaz Grup,TUR,D (C),-,Unknown,,,33,95,55.89,5.68,83%,0,0.1,-,100%,81%,1.89,0.95,12.32,0,1.89,0.95,3.79,1.89,3.79,0,8.9mi,- - -,$375 p/w,6/30/24,Unknown
Delphin Tshiembe,Fram Reykjavík,Pepsi-deildin,COD,"D (C), DM, M (C)",-,Right Only,,,32,796,59.36,3.96,84%,0.04,0.02,0.11,100%,77%,1.58,0.11,10.06,0.68,2.6,0.34,2.04,1.92,7.24,9,65.4mi,- - -,"$2,500 p/w",10/31/24,Not for Sale
Min Sang-Gi,Suwon Bluewings,Hana 1Q K League 1,KOR,D (C),-,Unknown,,,32,"1,334",60.11,3.91,85%,0.06,0.06,0.67,90%,81%,1.21,0.2,12.68,0.81,5.19,0.67,1.01,2.29,6.81,9,109.5mi,- - -,"$2,700 p/w",12/31/23,Unknown
Cristián Díaz,Everton de Viña del Mar,Campeonato AFP PlanVital,CHI,D (LC),-,Left,,,24,615,82.1,5.27,95%,0.06,0.05,0.44,71%,58%,0.73,0,4.1,0,4.1,0.59,0.44,2.34,4.98,4,47.8mi,- - -,$550 p/w,12/31/24,$20K - $200K
Nicolás Del Grecco,Dep. Morón,Liga Profesional de Fútbol,ARG,D (C),-,Left,,,30,"1,246",51.79,2.96,86%,0.03,0.03,0.14,86%,74%,0.87,0.29,6.14,0.22,4.19,0.94,1.16,1.81,4.04,16,88.4mi,- - -,"$1,200 p/w",12/31/23,$240K - $750K
Kenny Weyh,Dynamo Dresden,3. Liga,GER,D (C),-,Left,,,19,63,-,-,83%,-,-,-,-,100%,-,-,-,-,-,-,-,-,-,0,3.4mi,- - -,"$1,100 p/w",6/30/24,$160K - $500K
Joe Anderson,Sunderland,Sky Bet Championship,ENG,D (LC),-,Left,Loa,,23,238,59.75,8.32,86%,0.03,0,-,80%,68%,1.51,0.76,9.45,0.38,4.92,0.38,1.13,2.27,3.78,1,17.5mi,- - -,"$1,700 p/w",6/30/25,$30K - $300K
Strahinja Tanasijević,Mladost GAT,Mozzart Bet SuperLiga,SRB,D (C),-,Unknown,,,26,"2,600",38.8,4.15,71%,0.03,0.05,0.03,79%,72%,0.66,0.21,9.8,0.48,3.29,0.52,2.53,1.8,4.12,23,195.2mi,- - -,$375 p/w,6/30/23,Unknown
Odmar Færø,KÍ Klaksvík,Betri deildin menn,FRO,"D (C), DM",-,Right,Inj,,34,81,56.67,3.33,82%,0.03,0.28,-,100%,79%,1.11,0,12.22,2.22,4.44,-,1.11,1.11,2.22,1,4.8mi,- - -,$675 p/w,11/30/24,$0 - $9K
Marcelo Pereira,Motagua,Liga Salva-Vida,HON,"D (RC), WB (R)",-,Unknown,,,29,"3,339",46.68,5.12,77%,0.05,0.06,0.05,100%,58%,0.84,0.08,8.73,0.51,3.37,0.38,1.56,1.7,3.67,37,236.8mi,- - -,$240 p/w,6/30/24,Unknown
Eja Dakriet,Almere City FC,Keuken Kampioen Divisie,SUR,"D (C), WB (R)",-,Unknown,Wnt,,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$230 p/w,6/30/23,Unknown
Patrick Iyinbor,Vasas,OTP Bank Liga,HUN,D (C),-,Unknown,,,22,"2,644",60.22,3.64,85%,0.06,0.02,-,89%,77%,0.85,0.17,10.21,0.58,3.54,0.82,1.57,1.4,3.37,18,198.0mi,- - -,"$1,700 p/w",6/30/24,Unknown
Ianson,Brusque,Brasileirão Série C,BRA,D (C),-,Right Only,Inj,,28,"1,366",52.64,4.41,83%,0.03,0.06,0.13,65%,81%,0.72,0.46,8.1,0.4,3.62,0.79,1.45,1.65,4.28,11,102.8mi,- - -,"$2,400 p/w",12/31/25,$28K - $275K
Mohammad Daneshgar,Sepahan,Iran Pro League,IRN,D (C),-,Unknown,,,30,"3,489",56.72,4,88%,0.05,0.04,0.26,89%,69%,1.06,0.28,6.99,0.36,3.15,0.49,1.44,1.75,4.2,39,261.3mi,- - -,"$7,250 p/w",6/30/24,Unknown
Alexander Mojzis,Rużomberok,Fortuna Liga,SVK,D (LC),-,Unknown,,,25,"3,395",56.09,5.09,87%,0.04,0.05,0.48,85%,66%,0.87,0.16,4.85,0.19,2.89,0.66,1.54,1.78,5.7,22,277.5mi,- - -,"$4,200 p/w",6/30/25,Unknown
Mario Robles,Recreativo de Huelva,Segunda Federación Grupo IV,ESP,"D (C), DM",-,Right,,,28,"3,175",49.8,3.49,75%,0.05,0.04,0.09,84%,64%,0.88,0.14,9.47,0.37,3.51,0.79,2.04,1.62,3.88,45,236.4mi,- - -,"$2,700 p/w",6/30/24,$30K - $300K
Mathis Bruns,Lecce,Serie A TIM,GER,D (C),-,Unknown,,,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,"$1,100 p/w",6/30/24,Unknown
Cléberson Martins,Madura United,Liga 1 Indonesia,BRA,"D (C), DM",-,Unknown,Trn,,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,"$1,400 p/w",-,Unknown
Aleksander Hammer Kjelsen,Vålerenga,Eliteserien,NOR,D (C),-,Unknown,,,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,$950 p/w,12/31/24,Unknown
Thomas Dasquet,La Nucía,Primera Federación Grupo II,FRA,"D (C), DM",Trained in nation (15-21),Right,,,30,"3,294",38.47,5.36,66%,0.02,0.03,0.25,77%,71%,0.98,0.16,8.63,0.52,2.57,0.57,1.86,1.97,5.44,38,258.8mi,- - -,"$6,000 p/w",6/30/24,$80K - $250K
Mümin Pazarlı,Orduspor 1967,Spor Toto 3. Lig Grup 2,TUR,D (C),-,Unknown,Opt,,30,"3,870",14.6,0.16,70%,0.05,0,-,94%,94%,1.77,0,0.37,0,0.14,0.02,0.05,0,0.02,69,6.8mi,- - -,$425 p/w,6/30/23,Unknown
Alexandros Malis,Panetolikos,Stoiximan Super League,GRE,D (RC),-,Right,Ask,,27,"2,196",61.68,4.02,83%,0.04,0.07,0.04,74%,80%,0.82,0.16,9.06,0.61,3.57,0.7,1.89,1.6,3.93,30,162.8mi,- - -,$375 p/w,6/30/23,$0 - $35K
Szilárd Devecseri,Szombathelyi Haladás,Merkantil Bank Liga,HUN,D (LC),-,Unknown,,,34,"3,068",26.61,1.35,76%,0.06,0.05,0.15,90%,88%,1.79,0,3.52,0.12,1.17,0.15,0.26,0.97,2.85,46,89.4mi,- - -,"$1,200 p/w",6/30/24,Unknown
Marin Karamarko,TSV Hartberg,Tipico Bundesliga,CRO,D (C),-,Unknown,,,26,159,52.08,3.96,79%,0,0.04,-,100%,93%,1.13,0,15.85,1.13,4.53,-,1.13,1.13,2.26,4,11.7mi,- - -,"$3,000 p/w",6/30/24,Unknown
Lukas Graf,Grazer AK 1902,HPYBET 2.liga,AUT,D (C),-,Unknown,Opt,,29,"1,341",37.11,4.3,64%,0.05,0.06,0.4,100%,75%,1.41,0.2,10.34,0.6,3.22,0.6,1.48,2.08,4.23,14,101.9mi,- - -,$575 p/w,6/30/23,Unknown
Enzo Ferrario,Unión La Calera,Campeonato AFP PlanVital,CHI,D (RC),-,Right,,,24,286,26.75,0.94,67%,0.02,0,0.94,86%,84%,1.89,0.31,8.18,1.26,2.2,0.63,1.89,2.2,7.87,5,22.4mi,- - -,$600 p/w,12/31/24,$50K - $475K
Mert Özmen,1461 Trabzon FK,Spor Toto 2. Lig Kırmızı Grup,TUR,D (C),-,Unknown,Wnt,,27,"1,384",48.45,4.75,77%,0.07,0.04,0.13,87%,80%,0.85,0.26,12.55,0.59,4.16,0.65,1.24,1.69,3.77,12,104.0mi,- - -,$400 p/w,6/30/23,Unknown
Daniel Franco,Atlético Grau,Liga 1 Movistar,ARG,D (C),-,Left,,,32,"1,345",46.71,6.22,65%,0.05,0.05,0.07,93%,78%,0.94,0.13,9.5,0.33,3.81,0.54,3.14,1.87,5.29,11,103.7mi,- - -,"$3,500 p/w",1/31/25,Not for Sale
Issa Maréga,,-,FRA,"D (C), DM",Trained in nation (15-21),Right,Wnt,,26,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,-,-,$0 
Luka Škaričić,Varaždin,SuperSport Hrvatska nogometna liga,CRO,D (C),-,Unknown,,,22,312,48.17,3.75,83%,0.03,0.01,-,100%,74%,0.29,0,6.63,0,4.33,2.31,2.02,1.44,4.33,2,24.9mi,- - -,$675 p/w,6/30/24,Unknown
Ştefan Cană,Rapid CFR Suceava,Liga III - Seria I,ROU,D (C),-,Unknown,,,23,"1,260",27.07,2.29,74%,0.13,0.02,0.14,83%,59%,1.36,0,2.64,0.29,0.93,0.07,0.57,1.36,2.93,9,45.8mi,- - -,$375 p/w,6/30/23,Unknown
Ronaldo Rodrigues,Alverca SAD,Portuguese Third Division - South,BRA,D (C),-,Right Only,Trn,,26,"2,266",54.21,4.37,78%,0.01,0.02,0.28,89%,82%,0.95,0.12,12.19,0.4,3.38,0.56,1.71,1.87,4.13,15,161.6mi,- - -,$325 p/w,6/30/23,$0 
Abdallah Bakri,Pharco,The WE League,EGY,D (C),-,Unknown,,,29,"3,870",14.19,0,71%,0.04,0,-,98%,-,1.91,0,-,0,-,-,0,0,0,49,0.0mi,- - -,"$9,750 p/w",6/30/25,Unknown
Yannick Langesberg,TSV Steinbach,Regionalliga Südwest,GER,"D (C), DM",-,Right Only,,,30,"1,529",40.2,3.59,73%,0.04,0.08,0.24,86%,72%,1.47,0.12,7.12,0.53,2.24,0.53,1.12,2.65,7.12,12,108.7mi,- - -,"$1,700 p/w",6/30/25,$55K - $170K
Gonzalo Paz,Levadeiakos,Stoiximan Super League,ARG,D (LC),-,Left,,,30,"3,099",32,3.86,71%,0.01,0.07,0.87,63%,54%,1.07,0.17,4.68,0.35,3.86,0.96,1.95,2.5,7.17,37,243.8mi,- - -,"$5,250 p/w",6/30/25,$9K - $85K
Andrei Coubiş,Milan,Serie A TIM,ROU,"D (RC), WB (R)",-,Right Only,Wnt,,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,"$1,800 p/w",6/30/26,$220K - $700K
Song Joo-Hoon,Jeju United,Hana 1Q K League 1,KOR,D (C),-,Unknown,,,30,"1,574",51.98,4.23,87%,0,0.01,0.23,83%,64%,1.09,0.34,3.43,0.17,3.72,0.86,1.49,1.37,4.12,12,126.9mi,- - -,"$1,100 p/w",12/31/23,Unknown
Alan Aguirre,Atlanta,Primera Nacional,ARG,D (RC),-,Right,,,30,"1,006",53.23,3.04,81%,0.07,0.01,0.09,75%,72%,0.54,0.36,6.53,0.09,5.1,0.98,0.72,1.61,3.76,6,70.4mi,- - -,"$3,300 p/w",12/31/25,$150K - $1.5M
Aliou Thiaré,Diambars FC,Senegalese Ligue 1,SEN,D (C),-,Left,Sct,,20,"3,597",46.09,4.25,76%,0.04,0.02,0.15,86%,76%,0.95,0.35,11.31,0.7,3.73,0.85,1.85,1.75,3.45,26,263.1mi,- - -,$500 p/w,6/30/25,$8K - $80K
Jonathan Bilbao,Universidad Técnica de Cajamarca,Liga 1 Movistar,PER,D (C),-,Right,,,24,717,42.3,4.77,72%,0.05,0.06,-,92%,64%,1.38,0.88,7.53,0.5,5.77,1,3.26,2.01,3.64,4,54.9mi,- - -,"$1,100 p/w",1/31/24,$20K - $200K
Elias Katsaros,Madison,USL League One,GER,D (C),-,Right,,,22,180,13.5,0,68%,0,0,-,100%,-,1,0,-,0,-,-,0,0,0,0,0.0mi,- - -,"$1,100 p/w",12/31/25,$300K - $950K
Dario De Vita,Aachen,Regionalliga West,GER,D (C),-,Either,,,24,"3,770",48.39,4.3,75%,0.04,0.03,0.02,86%,69%,0.91,0.14,10.27,0.36,3.72,0.43,1.62,1.69,3.58,47,256.3mi,- - -,$575 p/w,6/30/23,$0 - $90K
Bəxtiyar Həsənalizadə,Sabah (AZE),Topaz Premyer Liqası,AZE,D (C),-,Unknown,,,31,"1,430",40.72,2.96,81%,0.05,0.13,1.01,86%,58%,1.51,0.13,5.79,0.19,2.77,0.5,1.57,3.46,8.87,10,120.0mi,- - -,$900 p/w,6/30/25,Not for Sale
Nikita Vlasenko,Rijeka,SuperSport Hrvatska nogometna liga,SUI,D (C),-,Unknown,,,22,232,51.98,3.88,77%,0,0.03,0.78,0%,73%,0,0,10.47,0.39,1.55,0.78,1.94,0.39,2.72,1,15.7mi,- - -,"$1,900 p/w",6/30/24,Unknown
Samuel Biek,Rot-Weiß Erfurt,Regionalliga Nordost,GER,"D (C), DM",-,Left,,,26,"3,769",42.29,3.96,69%,0.05,0.01,0.12,89%,80%,0.74,0.17,11.37,0.53,4.23,0.76,1.89,1.7,4.25,37,277.9mi,- - -,"$4,700 p/w",6/30/25,$170K - $500K
Pedro Monteiro,Torpedo Kt.,Crystalbet Erovnuli Liga,POR,D (C),-,Unknown,,,30,"1,043",54.71,4.06,89%,0.06,0.03,-,67%,67%,0.52,0.17,5.87,0.17,4.14,0.69,0.95,1.55,3.37,6,72.3mi,- - -,"$1,400 p/w",12/31/23,Unknown
Alan Pérez,Temperley,Primera Nacional,ARG,D (C),-,Right,,,33,156,55.38,2.88,88%,0,0,-,100%,58%,0.58,0,4.04,0,5.19,0.58,0.58,1.73,2.31,2,11.7mi,- - -,"$4,000 p/w",12/31/24,Not for Sale
Giorgi Gvelesiani,Persepolis,Iran Pro League,GEO,D (C),-,Unknown,,,33,"3,739",54.16,3.78,86%,0.06,0.04,0.19,73%,75%,0.96,0.31,6.47,0.46,3.61,0.55,1.56,1.88,4.09,36,264.0mi,- - -,"$4,600 p/w",6/30/23,Unknown
Nikita Kalugin,Neftekhimik,Olimp-Russian Football Championship,RUS,"D (RC), DM",-,Right,,,26,"3,319",38.7,3.5,80%,0.04,0.08,0.54,92%,65%,1.65,0.14,5.4,0.22,3.55,0.68,1.27,3.17,8.68,37,273.8mi,- - -,"$7,000 p/w",6/30/23,$0 - $110K
Loris Mouyokolo,Rodez AF,Ligue 2 BKT,CGO,D (C),Trained in nation (15-21),Right,,,23,"1,864",42.97,3.72,75%,0.01,0.01,0.14,79%,85%,1.26,0.39,9.22,1.26,3.72,0.53,2.32,1.93,5.26,15,147.2mi,- - -,"$1,500 p/w",6/30/25,$210K - $2.1M
Abdelhamid El Kaoutari,HUS Agadir,Botola Pro 1,MAR,D (C),Trained in nation (15-21),Left,,,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,- - -,"$3,100 p/w",6/30/24,$0 - $80K
Daniel Granli,AaB,3F Superliga,NOR,D (RC),-,Right,,,30,"1,329",51.81,3.72,86%,0.06,0.05,0.41,86%,61%,1.22,0.14,5.76,0.34,3.93,0.54,1.9,2.57,6.98,8,105.5mi,- - -,"$2,400 p/w",6/30/23,$1.5K - $16K
Ngweni Ndasi,Rivers United,Nigeria Professional Football League Group B,CMR,D (C),-,Unknown,,,29,"3,678",44.07,5.09,75%,0.04,0.02,0.12,97%,64%,0.93,0.24,9.23,0.37,3.84,0.73,1.93,1.96,3.52,29,249.0mi,- - -,$230 p/w,6/30/23,Unknown
